,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Cherskiy,RU,68.75,161.3,53.76,44,0,6.15
1,Hilo,US,19.71,-155.08,75.2,83,90,8.05
2,Port Lincoln,AU,-34.72,135.86,53.94,100,56,6.6
4,Meulaboh,ID,4.14,96.13,79.23,100,68,3.02
5,Chokurdakh,RU,70.62,147.9,50.16,81,44,14.65
7,Santa Fe,AR,-31.62,-60.7,38.01,72,0,5.37
8,Hermanus,ZA,-34.42,19.24,45.84,93,68,3.58
11,Mataura,NZ,-46.19,168.86,40.44,100,92,16.44
12,Ushuaia,AR,-54.81,-68.31,32,100,75,4.7
13,Anadyr,RU,64.73,177.51,50,76,75,13.42
14,Port-de-Bouc,FR,43.4,4.98,68,56,0,9.17
15,Punta Arenas,CL,-53.16,-70.91,37.4,86,40,9.17
16,Dhrangadhra,IN,22.99,71.47,81.12,84,68,7.94
18,Aksu,KZ,52.04,76.93,66.2,72,75,4.47
20,Yuncheng,CN,35.03,111,80.94,72,68,3.36
21,Campamento,HN,14.55,-86.67,80.22,58,64,6.15
22,Nishihara,JP,35.74,139.53,80.58,58,0,2.24
23,Vaini,IN,15.34,74.49,68.61,98,92,7.61
24,Itarema,BR,-2.92,-39.92,79.59,72,8,14.32
26,Busselton,AU,-33.64,115.35,59.7,100,0,18.45
27,Salinopolis,BR,-0.61,-47.36,81.93,94,56,15.21
29,Airai,TL,-8.93,125.41,68.61,85,20,2.35
30,Albany,US,42.65,-73.75,68.04,93,90,3.36
31,Mar del Plata,AR,-46.43,-67.52,41.88,64,0,14.09
32,Norman Wells,CA,65.28,-126.83,48.2,81,90,10.29
34,Shingu,JP,33.72,135.99,78.8,78,20,3.36
35,Cape Town,ZA,-33.93,18.42,51.8,87,0,9.17
36,Rikitea,PF,-23.12,-134.97,75.99,100,0,13.42
37,Socorro,PH,13.06,121.41,78.24,100,24,1.34
38,Kaitangata,NZ,-46.28,169.85,40.62,96,88,23.04
40,Sulangan,PH,11.14,123.72,80.31,100,44,3.36
42,Hithadhoo,MV,-0.6,73.08,79.41,100,8,1.9
43,Bissau,GW,11.86,-15.58,79.41,84,32,8.5
44,Port Alfred,ZA,-33.59,26.89,56.82,100,0,3.24
45,Hobart,AU,-42.88,147.33,50,71,75,10.29
46,Sinnamary,GF,5.38,-52.96,78.78,100,64,8.05
47,Poum,MK,41.28,20.71,50.25,88,92,1.57
48,Qaanaaq,GL,77.48,-69.36,31.26,100,56,3.69
49,Yaqui,MX,27.37,-110.17,91.4,26,5,12.75
51,Souillac,FR,45.6,-0.6,61.61,63,0,8.05
53,Ponta do Sol,BR,-20.63,-46,69.33,49,76,5.59
54,Cidreira,BR,-30.17,-50.22,53.58,99,92,6.6
55,Gwadar,PK,25.12,62.33,84.09,96,0,5.82
56,Itoman,JP,26.12,127.67,84.2,83,75,5.82
58,Constitucion,MX,23.99,-104.67,82.4,28,75,7.94
61,Tautira,PF,-17.73,-149.15,86,62,20,6.93
63,Cabo San Lucas,MX,22.89,-109.91,83.66,61,5,13.87
64,Impfondo,CD,1.62,18.06,71.58,98,80,1.57
65,Puerto Ayora,EC,-0.74,-90.35,75.2,73,75,17.22
67,Ribeira Grande,PT,38.52,-28.7,67.08,100,100,7.38
68,Mingshui,CN,22.81,109.89,77.61,97,88,7.72
69,Phangnga,TH,8.45,98.53,77.72,74,75,8.05
70,Adolfo Lopez Mateos,MX,26.8,-109.39,94.44,30,12,5.26
72,Oranjemund,ZA,-28.55,16.43,58.71,98,12,17.45
73,Yellowknife,CA,62.45,-114.38,69.8,52,20,16.11
75,Timbuktu,ML,16.77,-3.01,85.71,49,64,8.61
77,Dzilam Gonzalez,MX,21.28,-88.93,79.32,90,20,2.91
78,Tuktoyaktuk,CA,69.44,-133.03,42.8,75,75,12.75
79,Urayasu,JP,35.64,139.9,80.64,83,0,5.82
82,Sawakin,SD,19.1,37.33,82.29,73,0,4.03
86,Kodiak,US,39.95,-94.76,78.8,74,1,4.7
87,Darhan,MN,49.49,105.92,63.84,58,8,5.26
88,New Norfolk,AU,-42.78,147.06,50,71,75,10.29
89,Khatanga,RU,71.98,102.47,50.16,82,20,13.87
91,Vila Franca do Campo,PT,37.72,-25.43,66.2,77,20,5.82
92,Pathein,MM,16.78,94.73,77.52,95,92,8.95
93,Rocha,UY,-34.48,-54.34,36.12,72,56,4.81
94,Strelka,RU,58.08,93.03,69.33,54,0,3.8
95,Mahebourg,MU,-20.41,57.7,69.8,88,75,3.36
97,Isangel,VU,-19.55,169.27,72.84,100,0,13.65
98,Port Elizabeth,US,39.31,-74.98,81.23,78,1,13.65
101,Cap Malheureux,MU,-19.98,57.61,69.8,88,75,3.36
102,Cabedelo,BR,-6.97,-34.84,75.2,78,75,5.82
103,San Patricio,PY,-26.98,-56.83,55.29,99,92,6.04
104,Saskylakh,RU,71.97,114.09,47.55,100,92,12.3
107,Pitimbu,BR,-7.47,-34.81,75.2,78,75,5.82
108,Avarua,CK,-21.21,-159.78,80.6,83,75,9.17
111,Ola,RU,59.58,151.3,71.6,49,40,4.47
112,Kastamonu,TR,41.38,33.78,49.44,93,12,2.46
113,Kemin,KG,42.79,75.7,43.32,97,80,2.01
114,Wanning,AT,48.64,13.53,53.6,87,75,5.82
115,Kiama,AU,-34.67,150.86,51.8,57,0,10.29
116,Tasiilaq,GL,65.61,-37.64,35.6,93,92,2.24
117,Leh,IN,34.16,77.58,29.01,97,92,1.57
120,Kavieng,PG,-2.57,150.8,83.1,100,48,8.16
121,Karakol,KG,42.49,78.39,43.86,100,92,1.68
122,Fortuna,ES,38.18,-1.13,74.3,83,0,3.36
123,Port Hardy,CA,50.7,-127.42,57.2,93,90,5.82
125,Atuona,PF,-9.8,-139.03,80.31,100,92,19.69
129,Divnogorsk,RU,55.96,92.38,68,68,0,2.91
130,Rosetta,EG,31.4,30.42,77,69,0,4.7
131,Bambous Virieux,MU,-20.34,57.76,69.8,88,75,3.36
133,Kahului,US,20.89,-156.47,82.29,62,40,20.8
134,Constitucion,MX,23.99,-104.67,82.4,28,75,7.94
136,Belmonte,PT,40.36,-7.35,68.61,87,0,3.8
137,Walvis Bay,NA,-22.95,14.51,51.8,81,0,9.62
138,Sambava,MG,-14.27,50.17,72.39,100,88,21.25
140,Ust-Kuyga,RU,70,135.55,73.29,76,56,2.24
141,Chuy,UY,-33.69,-53.46,41.43,95,88,4.36
144,Faanui,PF,-16.48,-151.75,81.39,99,8,19.8
145,Nikolskoye,RU,59.7,30.79,50,87,20,4.47
147,Arraial do Cabo,BR,-22.97,-42.02,72.39,93,0,13.53
148,Bethel,US,60.79,-161.76,62.6,48,40,10.29
152,Kendari,ID,-3.99,122.52,72.12,100,92,1.79
153,Den Helder,NL,52.96,4.76,57.2,87,90,6.93
156,Nivala,FI,63.93,24.96,47.64,83,0,2.46
157,Mega,ET,4.06,38.32,61.41,94,92,6.15
158,Kinkala,CG,-4.35,14.75,71.6,88,75,3.36
161,Serenje,ZM,-13.23,30.22,53.67,71,0,10.29
165,Alice Springs,AU,-23.7,133.88,50,46,0,4.7
166,Huanta,PE,-12.94,-74.25,37.74,77,0,2.57
167,Baymak,RU,52.6,58.31,52.86,81,8,2.68
170,Butaritari,KI,3.07,172.79,82.29,100,36,9.62
171,Dingle,PH,11,122.67,78.78,99,20,2.68
172,Cheney,US,47.49,-117.58,82.04,34,1,6.93
173,Berezovyy,RU,51.67,135.7,59.79,82,0,3.36
